"","X.1","species","GOA","BC","WC","n_region","X","V1","V2","V3","V4","V5"
"1",1,"arrowtooth flounder","x","x","x",3,1,3299.06851033098,2589.681660442,2094.24492654199,114.582500460994,0
"2",2,"big skate","x","","x",2,2,NA,NA,NA,NA,0
"3",3,"blackbelly eelpout","","x","x",2,3,116.498371852897,NA,0,23.8755335726964,NA
"4",4,"canary rockfish","x","x","x",3,4,136.432192638902,136.878542999802,77.3999066901015,17.9396213332002,0
"5",5,"darkblotched rockfish","x","x","x",3,5,29.1995345287069,27.1128032312045,0,NA,NA
"7",7,"dover sole","x","x","x",3,7,1486.04536011902,400.311625604052,49.0029451720184,0,NA
"8",8,"english sole","x","x","x",3,8,699.377092938012,NA,256.835426522011,NA,0
"9",9,"flathead sole","x","x","x",3,9,NA,791.181376601002,643.781534185997,104.267313610006,0
"12",12,"lingcod","x","x","x",3,12,1058.68441196199,528.866150995003,476.913914136996,13.8580690450035,0
"13",13,"longnose skate","x","x","x",3,13,NA,NA,378.615608888009,43.1489923899935,0
"14",14,"longspine thornyhead","x","","x",2,14,222.727233073107,NA,15.5512500443001,3.92336689640069,0
"15",15,"north pacific spiny dogfish","x","x","x",3,15,1595.063726222,687.664226285997,447.458376151,138.466336336991,0
"16",16,"pacific cod","x","x","",2,16,171.485970274996,NA,NA,22.0372219369892,0
"18",18,"pacific hake","x","x","x",3,18,1118.56515476899,814.684226418001,273.290612293989,58.8174810159981,0
"19",19,"pacific halibut","x","x","",2,19,NA,NA,NA,8.31331515499915,0
"21",21,"pacific sanddab","x","x","x",3,21,696.018949781501,310.585579681996,121.852559913707,33.1743698326027,0
"22",22,"petrale sole","x","x","x",3,22,866.390550671,194.314638657001,179.897395360007,38.6481612520001,0
"23",23,"redbanded rockfish","x","x","x",3,23,1512.5733777827,1388.6153346683,NA,NA,0
"24",24,"redstripe rockfish","x","x","",2,24,39.4005496914979,NA,3.96282768949823,0,NA
"25",25,"rex sole","x","x","x",3,25,1681.13944557501,NA,331.525329162017,NA,0
"27",27,"sablefish","x","x","x",3,27,533.191791267978,427.301667986991,230.446983851987,46.9176861259912,0
"28",28,"sandpaper skate","","x","x",2,28,1113.7774951975,510.112700098602,225.925203599705,5.66681351260195,0
"29",29,"sharpchin rockfish","x","x","x",3,29,539.578231274099,450.843801305702,339.586190331698,36.3269616893012,0
"30",30,"shortspine thornyhead","x","x","x",3,30,938.827435779007,700.191953055008,NA,NA,0
"31",31,"silvergray rockfish","x","x","",2,31,NA,53.8777579372982,31.4334455040007,0,3.80087274439575
"32",32,"slender sole","x","x","x",3,32,1910.930237244,804.466916086996,426.229347062996,23.1656715579884,0
"33",33,"southern rock sole","x","x","",2,33,22.7453422875042,12.2165095780001,0,3.9340565142993,1.28443793109909
"35",35,"spotted ratfish","x","x","x",3,35,2292.81858831402,547.114356553007,208.033857693023,121.890792009013,0
"36",36,"walleye pollock","x","x","",2,36,NA,NA,NA,NA,0
"38",38,"yellowtail rockfish","x","x","x",3,38,NA,NA,258.087448033606,NA,0
